GeneID,NExons,gene.F,gene.df.test,gene.p.value,gene.Simes.p.value,FDR,Simes.FDR
ENSG00000000003.16,3,0.4783762676522932,3.0,0.7020211992973162,0.7783827560012939,0.999999723954361,0.9999321831668926
ENSG00000000419.14,5,1.9887019263370278,5.0,0.11371810888869492,0.08211237197672681,0.48771539225726435,0.38660970367800784
ENSG00000000457.14,2,4.12786548690009,2.0,0.04723841959155012,0.06953664688264848,0.30275674473183184,0.35311372310698985
ENSG00000000460.17,4,1.0111759123710564,4.0,0.4237271270076521,0.5860962670254914,0.8983126258402279,0.9999321831668926
ENSG00000000971.17,3,0.2320626683272085,3.0,0.8726114016711946,0.8599846417192505,0.999999723954361,0.9999321831668926
ENSG00000001084.13,6,3.532649966150563,6.0,0.010445644615407522,0.013951680433368856,0.12149478998940634,0.14092650537747686
ENSG00000001167.15,2,0.6719711137316228,2.0,0.5310228174889936,0.5780835437096988,0.9728562745495505,0.9999321831668926
ENSG00000001460.18,3,1.6866735426468455,3.0,0.21416045412572243,0.26312054455956296,0.6688932430778065,0.7111148050708144
ENSG00000001461.19,3,4.1194145747510635,3.0,0.026194995955187376,0.052298800664555986,0.21522147413335124,0.30427661554611973
ENSG00000001497.18,6,0.6865494467625908,6.0,0.6620331927121823,0.7302541586593311,0.999999723954361,0.9999321831668926
ENSG00000001617.12,4,1.2655351412671354,4.0,0.3146117652833167,0.26484494252520874,0.792542554431511,0.7140135312474362
ENSG00000001629.10,2,1.226611417589937,2.0,0.33149026088560796,0.2975719347882107,0.8072478804137971,0.7533592437052361
ENSG00000001630.18,3,1.5213898052185457,3.0,0.2503559187715917,0.16110198765732867,0.7132870722395329,0.5557655846078328
ENSG00000001631.17,9,0.7044717608227835,9.0,0.7011638274862302,0.3450378201217288,0.999999723954361,0.8081719182899527
ENSG00000002016.18,2,2.2286560526861208,2.0,0.1560561100560619,0.19931400752370693,0.5740804625241397,0.6196691025833235
ENSG00000002330.14,3,0.48819558933518276,3.0,0.6957940858153184,0.7598316645062176,0.999999723954361,0.9999321831668926
ENSG00000002549.13,3,0.6847013947741843,3.0,0.5754294055335505,0.5358211475468976,0.999999723954361,0.9848960468591711
ENSG00000002586.20,6,5.982609641117129,6.0,0.0004233336216418891,4.939330411258496e-05,0.014010464604305115,0.002902829515028705
ENSG00000002745.13,2,3.5468009365323407,2.0,0.06604875000979377,0.05429000266284075,0.3687943466943352,0.3082260865465848
ENSG00000002822.16,4,0.5429578241194479,4.0,0.7058417208117711,0.7464423440994757,0.999999723954361,0.9999321831668926
ENSG00000002834.19,5,1.2052511997114637,5.0,0.3369322718007836,0.27028627937513533,0.8138307434011762,0.7222281761093103
ENSG00000002919.15,3,0.6973160661815688,3.0,0.5683463680520855,0.588220002929646,0.997090816466807,0.9999321831668926
ENSG00000003056.8,4,0.19329354069544077,4.0,0.939104203721217,0.9591252619123526,0.999999723954361,0.9999321831668926
ENSG00000003096.15,3,3.237985250135051,3.0,0.056315875805480135,0.031918556997457354,0.33688775304487406,0.22675036425226663
ENSG00000003249.15,2,0.420096150487671,2.0,0.6673902158154112,0.7468151724856649,0.999999723954361,0.9999321831668926
ENSG00000003393.16,6,0.9032958750641034,6.0,0.5052873376254402,0.5790022984378015,0.9557828936928933,0.9999321831668926
ENSG00000003402.21,11,2.057548999111426,11.0,0.04086426307019037,0.09524200782817087,0.27846855867296977,0.4201827797587684
ENSG00000003436.16,7,2.070039196790751,7.0,0.07776792663453856,0.10460589854030464,0.39992140336174503,0.4423739198191601
ENSG00000003509.16,4,1.219522813076813,4.0,0.3302155401604419,0.3142511639101043,0.8062202664018779,0.7708858760064178
ENSG00000003756.17,9,1.0129922404839182,9.0,0.446139018625065,0.47441198138721374,0.9166684252537523,0.9378992538481277
ENSG00000003989.18,3,4.108168965796519,3.0,0.026298788868210878,0.023265223457264676,0.2155093315106477,0.18910550868826115
ENSG00000004059.11,3,3.5249119977233967,3.0,0.04180284278089859,0.020636400448425764,0.28189302256354215,0.1777186280181036
