"transcript","tagwise.dispersion","trended.dispersion","AveLogCPM","Overdispersion"
"ENST00000611116.2",0.215134389964285,0.923406927452465,-0.961254241662066,1
"ENST00000390289.2",0.217868320911712,0.765568757784228,0.0157797951341554,1.12951933870616
"ENST00000617347.1",0.461231267283096,0.748383138108219,0.267933949810459,1
"ENST00000361390.2",0.00697925291787707,0.00975878013652284,10.510582565878,1.00668883302524
"ENST00000361453.3",0.0048812755255358,0.00971764162547824,10.5640273059694,1.11712832820714
"ENST00000361624.2",0.00236816169704832,0.00860016778496825,13.3055861539877,1
"ENST00000361739.1",0.00393209012841928,0.00918740538673654,11.8395659001689,1.07667801078717
"ENST00000361851.1",0.00528493318192053,0.0116254420104285,8.60152244195587,1.01692883836492
"ENST00000361899.2",0.00253680390154625,0.00938724540640759,11.3539224909737,1
"ENST00000362079.2",0.00280965804799118,0.009166007147643,11.8919410291576,1.12607564138364
"ENST00000361227.2",0.00318856922568876,0.01212959975049,8.36070515131065,1.0439457472738
"ENST00000361335.1",0.00323346366300291,0.0110169435727568,9.2064304386442,1
"ENST00000361381.2",0.00263029813304878,0.0090141172212968,12.2658796272382,1.0639566157651
"ENST00000361567.2",0.00223231448328367,0.00935911202884855,11.421917655192,1.03968438819341
"ENST00000361681.2",0.00281795660443107,0.0104744822284883,9.75869893858202,1
"ENST00000361789.2",0.0030800803667059,0.00955394794042888,10.9534320776623,1
"ENST00000614336.4",0.0547204457110162,0.173606386701226,3.07036858507979,2.68303603950959
"ENST00000612640.4",0.23842050703923,0.585997132848239,1.217551255358,6.90949781473816
"ENST00000618686.1",0.173296658657131,0.761211400875309,0.117860740506028,1
"ENST00000612465.1",0.00756795102044031,0.0250530244390724,5.52835435716929,1.08272746913584
"ENST00000612919.1",0.139901828939921,0.736899050136268,0.357015939843559,1.27420055767328
"ENST00000612848.1",0.0278125078332643,0.116387996320998,3.5370051713654,1.94275226875766
"ENST00000613230.1",0.567273718857902,0.730276798102552,0.409853004976682,1.96162028502743
"ENST00000400754.4",0.175364468167728,0.665537238108919,0.79125247483893,1.56886601162578
"ENST00000707298.1",0.0314899151700085,0.0844565887026888,3.94202649999824,4.53197020466173
"ENST00000707299.1",0.397001780775744,0.826632744347608,-0.414853256028214,5.9203741496255
"ENST00000707301.1",0.235981708983919,0.269754714500033,2.47951303594588,14.2052192575197
"ENST00000672017.1",0.0425432029446746,0.172152441945719,3.08041312726464,1.68218937693422
"ENST00000672339.1",2.2963009315299,0.766572017082535,-0.00714627671657677,11.054908836611
"ENST00000672295.1",0.0483367726546286,0.208520739543293,2.84086996111997,1
"ENST00000672064.1",0.082402246224187,0.344237270831926,2.10570969778795,1
"ENST00000673550.1",0.0198040384621368,0.0437151717419433,4.65836329324379,9.63494812870984
"ENST00000672938.1",0.0446141189978214,0.0736884760766517,4.10998727967915,4.55531425861087
"ENST00000672225.1",0.124862801843482,0.541570571319296,1.36173790804774,1
"ENST00000672190.1",3.41739719623081,0.782727613329052,-0.154384805227244,6.67923262235639
"ENST00000673576.1",0.172978165772389,0.496330316638564,1.51614372963579,5.12417006760083
